order,conditionedCat,block,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
2,1,1,1,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,2
2,1,1,2,1,66,stimuli/animals/peacock.jpg,Birds,2,3
2,1,1,3,2,358,stimuli/tools/crutches.jpg,Household,1,2
2,1,1,4,1,45,stimuli/animals/moose.jpg,Mammals,2,3
2,1,1,5,1,148,stimuli/animals/cranebug.jpg,Invertebrates,2,3
2,1,1,6,2,255,stimuli/tools/dremel.jpg,Toolbox,2,3
2,1,1,7,1,111,stimuli/animals/cockatiel.jpg,Birds,2,3
2,1,1,8,2,270,stimuli/tools/microscope.jpg,Household,1,1
2,1,1,9,1,165,stimuli/animals/caterpillar.jpg,Invertebrates,1,2
2,1,1,10,2,218,stimuli/tools/drillbit.jpg,Powertools,1,2
2,1,1,11,2,345,stimuli/tools/sewingmachine.jpg,Household,1,1
2,1,1,12,2,300,stimuli/tools/digitalcamera.jpg,Devices,2,3
2,1,1,13,1,126,stimuli/animals/redpanda.jpg,Mammals,2,3
2,1,1,14,1,133,stimuli/animals/stinkbug.jpg,Invertebrates,2,3
2,1,1,15,2,238,stimuli/tools/edger.jpg,Powertools,1,1
2,1,1,16,2,311,stimuli/tools/curlingiron.jpg,Household,1,2
2,1,1,17,2,319,stimuli/tools/telescope.jpg,Household,1,2
2,1,1,18,1,4,stimuli/animals/cow.jpg,Mammals,2,3
2,1,1,19,2,293,stimuli/tools/calculator.jpg,Devices,1,2
2,1,1,20,2,222,stimuli/tools/measuringcups.jpg,Household,1,1
2,1,1,21,1,135,stimuli/animals/highlandcow.jpg,Mammals,1,2
2,1,1,22,1,138,stimuli/animals/angelfish.jpg,SeaDwellers,1,2
2,1,1,23,2,338,stimuli/tools/tubingbender.jpg,Toolbox,2,3
2,1,1,24,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
2,1,1,25,2,317,stimuli/tools/routerplane.jpg,Toolbox,2,3
2,1,1,26,1,169,stimuli/animals/halibut.jpg,SeaDwellers,2,3
2,1,1,27,2,297,stimuli/tools/nails.jpg,Toolbox,1,2
2,1,1,28,2,357,stimuli/tools/washboard.jpg,Household,2,3
2,1,1,29,1,48,stimuli/animals/hippo.jpg,Mammals,1,2
2,1,1,30,1,167,stimuli/animals/leafinsect.jpg,Invertebrates,2,3
2,1,1,31,2,254,stimuli/tools/toaster.jpg,Household,1,2
2,1,1,32,1,154,stimuli/animals/mahimahi.jpg,SeaDwellers,2,3
2,1,1,33,2,350,stimuli/tools/beadingtool.jpg,Toolbox,2,3
2,1,1,34,1,27,stimuli/animals/tortoise.jpg,ReptilesAmph,2,3
2,1,1,35,1,108,stimuli/animals/carp.jpg,SeaDwellers,2,3
2,1,1,36,2,339,stimuli/tools/weldinghelmet.jpg,Toolbox,2,3
2,1,1,37,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,1,1
2,1,1,38,1,91,stimuli/animals/bat.jpg,Mammals,1,1
2,1,1,39,1,122,stimuli/animals/clownfish.jpg,SeaDwellers,2,3
2,1,1,40,1,159,stimuli/animals/tragopan.jpg,Birds,1,1
2,1,1,41,2,343,stimuli/tools/duster.jpg,Household,1,1
2,1,1,42,2,256,stimuli/tools/drillpress.jpg,Powertools,1,1
2,1,1,43,1,157,stimuli/animals/mole.jpg,Mammals,1,2
2,1,1,44,1,168,stimuli/animals/bushdog.jpg,Mammals,1,2
2,1,1,45,1,6,stimuli/animals/pigeon.jpg,Birds,1,1
2,1,1,46,2,294,stimuli/tools/fertilzerspread.jpg,Household,1,2
2,1,1,47,2,198,stimuli/tools/electricbreaker.jpg,Powertools,2,3
2,1,1,48,2,258,stimuli/tools/pizzacutter.jpg,Household,2,3
2,1,1,49,2,253,stimuli/tools/pencil.jpg,Household,2,3
2,1,1,50,2,267,stimuli/tools/corkscrew.jpg,Household,1,2
2,1,1,51,2,325,stimuli/tools/microwave.jpg,Devices,1,1
2,1,1,52,1,132,stimuli/animals/octopus.jpg,SeaDwellers,2,3
2,1,1,53,1,153,stimuli/animals/hyena.jpg,Mammals,1,1
2,1,1,54,2,220,stimuli/tools/jumpercables.jpg,Toolbox,2,3
2,1,1,55,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,1
2,1,1,56,2,202,stimuli/tools/flashlight.jpg,Household,2,3
2,1,1,57,1,36,stimuli/animals/seal.jpg,SeaDwellers,2,3
2,1,1,58,1,85,stimuli/animals/hummingbird.jpg,Birds,1,2
2,1,1,59,2,189,stimuli/tools/measuringtape.jpg,Toolbox,1,1
2,1,1,60,2,216,stimuli/tools/viceclamp.jpg,Toolbox,1,2
2,1,1,61,1,56,stimuli/animals/donkey.jpg,Mammals,2,3
2,1,2,62,2,190,stimuli/tools/ruler.jpg,Household,1,1
2,1,2,63,1,151,stimuli/animals/flounder.jpg,SeaDwellers,1,1
2,1,2,64,1,95,stimuli/animals/prairiedog.jpg,Mammals,1,1
2,1,2,65,1,5,stimuli/animals/horse.jpg,Mammals,2,3
2,1,2,66,1,63,stimuli/animals/marlin.jpg,SeaDwellers,2,3
2,1,2,67,1,13,stimuli/animals/shark.jpg,SeaDwellers,1,2
2,1,2,68,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
2,1,2,69,1,12,stimuli/animals/racoon.jpg,Mammals,1,2
2,1,2,70,2,318,stimuli/tools/stopwatch.jpg,Devices,1,2
2,1,2,71,1,75,stimuli/animals/snail.jpg,Invertebrates,1,2
