order,conditionedCat,block,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
3,1,1,1,1,14,stimuli/animals/tiger.jpg,Mammals,1,1
3,1,1,2,2,269,stimuli/tools/magnifyingglass.jpg,Household,2,3
3,1,1,3,2,325,stimuli/tools/microwave.jpg,Devices,1,2
3,1,1,4,1,133,stimuli/animals/stinkbug.jpg,Invertebrates,1,2
3,1,1,5,1,36,stimuli/animals/seal.jpg,SeaDwellers,2,3
3,1,1,6,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,2,3
3,1,1,7,2,286,stimuli/tools/sander.jpg,Toolbox,2,3
3,1,1,8,2,212,stimuli/tools/scissors.jpg,Toolbox,1,1
3,1,1,9,1,110,stimuli/animals/beta.jpg,SeaDwellers,1,2
3,1,1,10,2,356,stimuli/tools/videogamecontroller.jpg,Devices,2,3
3,1,1,11,1,19,stimuli/animals/panda.jpg,Mammals,1,1
3,1,1,12,1,74,stimuli/animals/reindeer.jpg,Mammals,1,2
3,1,1,13,2,232,stimuli/tools/umbrella.jpg,Household,2,3
3,1,1,14,1,48,stimuli/animals/hippo.jpg,Mammals,1,1
3,1,1,15,2,196,stimuli/tools/pruner.jpg,Toolbox,1,2
3,1,1,16,2,257,stimuli/tools/hairbrush.jpg,Household,2,3
3,1,1,17,2,250,stimuli/tools/laptop.jpg,Devices,2,3
3,1,1,18,1,117,stimuli/animals/cricket.jpg,Invertebrates,1,2
3,1,1,19,1,72,stimuli/animals/koala.jpg,Mammals,2,3
3,1,1,20,2,284,stimuli/tools/nailgun.jpg,Powertools,1,2
3,1,1,21,1,126,stimuli/animals/redpanda.jpg,Mammals,2,3
3,1,1,22,2,332,stimuli/tools/reflexhammer.jpg,Household,1,1
3,1,1,23,1,102,stimuli/animals/ferret.jpg,Mammals,1,1
3,1,1,24,2,275,stimuli/tools/ladel.jpg,Household,2,3
3,1,1,25,1,170,stimuli/animals/partridge.jpg,Birds,1,2
3,1,1,26,2,210,stimuli/tools/glove.jpg,Household,2,3
3,1,1,27,1,93,stimuli/animals/gerbil.jpg,Mammals,1,2
3,1,1,28,2,330,stimuli/tools/foodprocessor.jpg,Household,2,3
3,1,1,29,1,15,stimuli/animals/brown_bear.jpg,Mammals,1,2
3,1,1,30,2,200,stimuli/tools/clippers.jpg,Toolbox,1,1
3,1,1,31,1,119,stimuli/animals/stickinsect.jpg,Invertebrates,1,1
3,1,1,32,2,353,stimuli/tools/television.jpg,Devices,1,2
3,1,1,33,1,169,stimuli/animals/halibut.jpg,SeaDwellers,1,2
3,1,1,34,2,215,stimuli/tools/trowel.jpg,Toolbox,2,3
3,1,1,35,1,12,stimuli/animals/racoon.jpg,Mammals,1,1
3,1,1,36,2,312,stimuli/tools/pressuregauge.jpg,Toolbox,1,1
3,1,1,37,2,202,stimuli/tools/flashlight.jpg,Household,1,2
3,1,1,38,2,236,stimuli/tools/chisel.jpg,Toolbox,1,1
3,1,1,39,1,52,stimuli/animals/otter.jpg,Mammals,2,3
3,1,1,40,1,59,stimuli/animals/rainbowtrout.jpg,SeaDwellers,2,3
3,1,1,41,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
3,1,1,42,2,214,stimuli/tools/toolbox.jpg,Toolbox,2,3
3,1,1,43,1,1,stimuli/animals/cat.jpg,Mammals,2,3
3,1,1,44,2,324,stimuli/tools/lighterbic.jpg,Household,1,2
3,1,1,45,2,223,stimuli/tools/rake.jpg,Household,2,3
3,1,1,46,2,190,stimuli/tools/ruler.jpg,Household,1,2
3,1,1,47,1,79,stimuli/animals/deer.jpg,Mammals,2,3
3,1,1,48,1,65,stimuli/animals/minnow.jpg,SeaDwellers,1,2
3,1,1,49,2,261,stimuli/tools/caulkinggun.jpg,Household,1,2
3,1,1,50,1,158,stimuli/animals/pachnoda.jpg,Invertebrates,2,3
3,1,1,51,2,287,stimuli/tools/scale.jpg,Household,1,1
3,1,1,52,1,99,stimuli/animals/waterdragon.jpg,ReptilesAmph,2,3
3,1,1,53,1,80,stimuli/animals/heckcattle.jpg,Mammals,1,2
3,1,1,54,1,21,stimuli/animals/wolf.jpg,Mammals,1,1
3,1,1,55,2,211,stimuli/tools/paintbrush.jpg,Household,2,3
3,1,1,56,2,262,stimuli/tools/fishingpole.jpg,Household,2,3
3,1,1,57,2,349,stimuli/tools/faxmachine.jpg,Devices,1,1
3,1,1,58,1,148,stimuli/animals/cranebug.jpg,Invertebrates,2,3
3,1,1,59,2,293,stimuli/tools/calculator.jpg,Devices,2,3
3,1,1,60,1,98,stimuli/animals/wasp.jpg,Invertebrates,2,3
3,1,1,61,1,75,stimuli/animals/snail.jpg,Invertebrates,1,1
3,1,2,62,1,112,stimuli/animals/crab.jpg,SeaDwellers,1,1
3,1,2,63,2,320,stimuli/tools/tirespoon.jpg,Toolbox,2,3
3,1,2,64,2,259,stimuli/tools/smartphone.jpg,Devices,2,3
3,1,2,65,2,348,stimuli/tools/carpetblower.jpg,Powertools,1,2
3,1,2,66,2,326,stimuli/tools/ropeandpulley.jpg,Household,2,3
3,1,2,67,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,2,3
3,1,2,68,2,198,stimuli/tools/electricbreaker.jpg,Powertools,1,1
3,1,2,69,2,358,stimuli/tools/crutches.jpg,Household,2,3
3,1,2,70,1,29,stimuli/animals/penguin.jpg,Birds,1,2
3,1,2,71,1,165,stimuli/animals/caterpillar.jpg,Invertebrates,1,1
3,1,2,72,1,107,stimuli/animals/bass.jpg,SeaDwellers,1,1
3,1,2,73,1,104,stimuli/animals/lemur.jpg,Mammals,2,3
3,1,2,74,2,280,stimuli/tools/cheesegrater.jpg,Household,2,3
3,1,2,75,1,101,stimuli/animals/ant.jpg,Invertebrates,2,3
3,1,2,76,2,181,stimuli/tools/hammer.jpg,Toolbox,1,1
3,1,2,77,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,2,3
3,1,2,78,1,152,stimuli/animals/clam.jpg,SeaDwellers,2,3
3,1,2,79,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
3,1,2,80,2,277,stimuli/tools/spraybottle.jpg,Household,1,2
3,1,2,81,2,311,stimuli/tools/curlingiron.jpg,Household,1,2
