order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
1,1,1,1,114,1,114,stimuli/animals/snapper.jpg,SeaDwellers,1,21,stimuli/animals/wolf.jpg,Mammals,1,1
1,1,2,1,174,1,174,stimuli/animals/malaysianjunglenymph.jpg,Invertebrates,1,45,stimuli/animals/moose.jpg,Mammals,1,1
1,1,3,1,71,1,71,stimuli/animals/butterfly.jpg,Invertebrates,1,141,stimuli/animals/gecko.jpg,ReptilesAmph,1,1
1,1,4,2,255,2,255,stimuli/tools/dremel.jpg,Toolbox,2,198,stimuli/tools/electricbreaker.jpg,Powertools,2,1
1,1,5,1,131,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,33,stimuli/animals/cheetah.jpg,Mammals,1,1
1,1,6,1,34,1,89,stimuli/animals/dove.jpg,Birds,1,34,stimuli/animals/owl.jpg,Birds,1,2
1,1,7,1,167,1,167,stimuli/animals/leafinsect.jpg,Invertebrates,1,136,stimuli/animals/iguana.jpg,ReptilesAmph,1,1
1,1,8,2,279,2,306,stimuli/tools/floorbuffer.jpg,Household,2,279,stimuli/tools/headphones.jpg,Devices,2,2
1,1,9,1,52,1,4,stimuli/animals/cow.jpg,Mammals,1,52,stimuli/animals/otter.jpg,Mammals,1,2
1,1,10,2,192,2,231,stimuli/tools/squeegee.jpg,Toolbox,2,192,stimuli/tools/shovel.jpg,Household,2,2
1,1,11,2,205,2,205,stimuli/tools/wheelbarrow.jpg,Household,2,184,stimuli/tools/fishtailchisel.jpg,Toolbox,2,1
1,1,12,1,166,1,25,stimuli/animals/orangutan.jpg,Mammals,1,166,stimuli/animals/ibises.jpg,Birds,1,2
1,1,13,1,26,1,26,stimuli/animals/rhino.jpg,Mammals,1,78,stimuli/animals/canary.jpg,Birds,1,1
1,1,14,2,299,2,299,stimuli/tools/coathanger.jpg,Household,2,193,stimuli/tools/clamp.jpg,Toolbox,2,1
1,1,15,2,252,2,252,stimuli/tools/paintroller.jpg,Household,2,256,stimuli/tools/drillpress.jpg,Powertools,2,1
1,1,16,2,206,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,2,349,stimuli/tools/faxmachine.jpg,Devices,2,1
1,1,17,1,145,1,100,stimuli/animals/finch.jpg,Birds,1,145,stimuli/animals/vulture.jpg,Birds,1,2
1,1,18,1,67,1,67,stimuli/animals/waterbuffalo.jpg,Mammals,1,146,stimuli/animals/anteater.jpg,Mammals,1,1
1,1,19,1,17,1,17,stimuli/animals/leopard.jpg,Mammals,1,102,stimuli/animals/ferret.jpg,Mammals,1,1
1,1,20,2,183,2,232,stimuli/tools/umbrella.jpg,Household,2,183,stimuli/tools/wrench.jpg,Toolbox,2,2
1,1,21,2,218,2,321,stimuli/tools/tirespoon.jpg,Toolbox,2,218,stimuli/tools/drillbit.jpg,Powertools,2,2
1,1,22,2,208,2,317,stimuli/tools/routerplane.jpg,Toolbox,2,208,stimuli/tools/stapler.jpg,Household,2,2
1,1,23,1,142,1,142,stimuli/animals/palmcockatoo.jpg,Birds,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,1,1
1,1,24,2,320,2,293,stimuli/tools/calculator.jpg,Devices,2,320,stimuli/tools/tirespoon.jpg,Toolbox,2,2
1,1,25,2,274,2,274,stimuli/tools/hairdryer.jpg,Household,2,219,stimuli/tools/handsander.jpg,Powertools,2,1
1,1,26,1,15,1,16,stimuli/animals/dolphin.jpg,SeaDwellers,1,15,stimuli/animals/brown_bear.jpg,Mammals,1,2
1,1,27,1,148,1,151,stimuli/animals/flounder.jpg,SeaDwellers,1,148,stimuli/animals/cranebug.jpg,Invertebrates,1,2
1,1,28,1,155,1,155,stimuli/animals/balloonfish.jpg,SeaDwellers,1,58,stimuli/animals/perch.jpg,SeaDwellers,1,1
1,1,29,2,296,2,296,stimuli/tools/handdrill.jpg,Toolbox,2,245,stimuli/tools/padlock.jpg,Household,2,1
1,1,30,2,358,2,358,stimuli/tools/crutches.jpg,Household,2,234,stimuli/tools/whisk.jpg,Household,2,1
1,1,31,2,343,2,227,stimuli/tools/wateringcan.jpg,Household,2,343,stimuli/tools/duster.jpg,Household,2,2
1,1,32,1,79,1,79,stimuli/animals/deer.jpg,Mammals,1,175,stimuli/animals/herculesbeetle.jpg,Invertebrates,1,1
1,1,33,2,342,2,342,stimuli/tools/crank.jpg,Toolbox,2,239,stimuli/tools/iron.jpg,Household,2,1
1,1,34,1,50,1,50,stimuli/animals/lobster.jpg,SeaDwellers,1,172,stimuli/animals/plantbug.jpg,Invertebrates,1,1
1,1,35,2,273,2,273,stimuli/tools/extensioncord.jpg,Household,2,347,stimuli/tools/blackboard.jpg,Household,2,1
1,1,36,1,119,1,119,stimuli/animals/stickinsect.jpg,Invertebrates,1,85,stimuli/animals/hummingbird.jpg,Birds,1,1
1,1,37,2,201,2,201,stimuli/tools/electricdrill.jpg,Powertools,2,188,stimuli/tools/bolt.jpg,Toolbox,2,1
1,1,38,1,140,1,36,stimuli/animals/seal.jpg,SeaDwellers,1,140,stimuli/animals/crane.jpg,Birds,1,2
1,1,39,1,37,1,180,stimuli/animals/assassinbug.jpg,Invertebrates,1,37,stimuli/animals/baboon.jpg,Mammals,1,2
1,1,40,1,72,1,157,stimuli/animals/mole.jpg,Mammals,1,72,stimuli/animals/koala.jpg,Mammals,1,2
1,1,41,2,277,2,247,stimuli/tools/razorblade.jpg,Household,2,277,stimuli/tools/spraybottle.jpg,Household,2,2
1,1,42,2,304,2,295,stimuli/tools/grill.jpg,Household,2,304,stimuli/tools/watch.jpg,Devices,2,2
1,1,43,1,88,1,88,stimuli/animals/blackleopard.jpg,Mammals,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,1
1,1,44,2,356,2,196,stimuli/tools/pruner.jpg,Toolbox,2,356,stimuli/tools/videogamecontroller.jpg,Devices,2,2
1,1,45,2,212,2,212,stimuli/tools/scissors.jpg,Toolbox,2,354,stimuli/tools/typewriter.jpg,Household,2,1
1,1,46,1,65,1,134,stimuli/animals/caracal.jpg,Mammals,1,65,stimuli/animals/minnow.jpg,SeaDwellers,1,2
1,1,47,2,313,2,210,stimuli/tools/glove.jpg,Household,2,313,stimuli/tools/airpump.jpg,Household,2,2
1,1,48,1,18,1,18,stimuli/animals/macaw.jpg,Birds,1,124,stimuli/animals/koi.jpg,SeaDwellers,1,1
1,1,49,2,333,2,236,stimuli/tools/chisel.jpg,Toolbox,2,333,stimuli/tools/treadmill.jpg,Devices,2,2
1,1,50,1,143,1,139,stimuli/animals/armadillo.jpg,Mammals,1,143,stimuli/animals/salamander.jpg,ReptilesAmph,1,2
1,1,51,1,132,1,132,stimuli/animals/octopus.jpg,SeaDwellers,1,48,stimuli/animals/hippo.jpg,Mammals,1,1
1,1,52,2,230,2,318,stimuli/tools/stopwatch.jpg,Devices,2,230,stimuli/tools/sponge.jpg,Household,2,2
1,1,53,2,217,2,286,stimuli/tools/sander.jpg,Toolbox,2,217,stimuli/tools/blower.jpg,Powertools,2,2
1,1,54,2,281,2,260,stimuli/tools/carjack.jpg,Toolbox,2,281,stimuli/tools/file.jpg,Household,2,2
1,1,55,1,14,1,14,stimuli/animals/tiger.jpg,Mammals,1,74,stimuli/animals/reindeer.jpg,Mammals,1,1
1,1,56,2,319,2,307,stimuli/tools/anvil.jpg,Toolbox,2,319,stimuli/tools/telescope.jpg,Household,2,2
1,1,57,2,294,2,352,stimuli/tools/jawsoflife.jpg,Toolbox,2,294,stimuli/tools/fertilzerspread.jpg,Household,2,2
1,1,58,1,122,1,122,stimuli/animals/clownfish.jpg,SeaDwellers,1,129,stimuli/animals/emu.jpg,Birds,1,1
1,1,59,1,76,1,123,stimuli/animals/earthworm.jpg,Invertebrates,1,76,stimuli/animals/sparrow.jpg,Birds,1,2
1,1,60,2,309,2,309,stimuli/tools/carabiner.jpg,Toolbox,2,332,stimuli/tools/reflexhammer.jpg,Household,2,1
