order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
8,2,42,1,100,stimuli/animals/finch.jpg,1,85,stimuli/animals/hummingbird.jpg,Birds,1,100,stimuli/animals/finch.jpg,Birds,1,2,stimuli/cues/cue_white.jpg,1
8,2,43,2,227,stimuli/tools/wateringcan.jpg,2,355,stimuli/tools/telephone.jpg,Devices,2,227,stimuli/tools/wateringcan.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
8,2,44,2,269,stimuli/tools/magnifyingglass.jpg,2,210,stimuli/tools/glove.jpg,Household,2,269,stimuli/tools/magnifyingglass.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
8,2,45,1,159,stimuli/animals/tragopan.jpg,1,108,stimuli/animals/carp.jpg,SeaDwellers,1,159,stimuli/animals/tragopan.jpg,Birds,1,2,stimuli/cues/cue_white.jpg,1
8,2,46,1,122,stimuli/animals/clownfish.jpg,1,140,stimuli/animals/crane.jpg,Birds,1,122,stimuli/animals/clownfish.jpg,SeaDwellers,1,2,stimuli/cues/cue_white.jpg,1
8,2,47,2,307,stimuli/tools/anvil.jpg,2,340,stimuli/tools/woodchipper.jpg,Powertools,2,307,stimuli/tools/anvil.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
8,2,48,2,254,stimuli/tools/toaster.jpg,2,242,stimuli/tools/thermometer.jpg,Household,2,254,stimuli/tools/toaster.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
8,2,49,1,147,stimuli/animals/beardeddragon.jpg,1,79,stimuli/animals/deer.jpg,Mammals,1,147,stimuli/animals/beardeddragon.jpg,ReptilesAmph,1,2,stimuli/cues/cue_white.jpg,1
8,2,50,1,60,stimuli/animals/alligator.jpg,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
8,2,51,2,338,stimuli/tools/tubingbender.jpg,2,338,stimuli/tools/tubingbender.jpg,Toolbox,2,262,stimuli/tools/fishingpole.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
8,2,52,1,99,stimuli/animals/waterdragon.jpg,1,99,stimuli/animals/waterdragon.jpg,ReptilesAmph,1,76,stimuli/animals/sparrow.jpg,Birds,1,1,stimuli/cues/cue_white.jpg,1
8,2,53,1,58,stimuli/animals/perch.jpg,1,58,stimuli/animals/perch.jpg,SeaDwellers,1,12,stimuli/animals/racoon.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
8,2,54,2,274,stimuli/tools/hairdryer.jpg,2,192,stimuli/tools/shovel.jpg,Household,2,274,stimuli/tools/hairdryer.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
8,2,55,1,170,stimuli/animals/partridge.jpg,1,170,stimuli/animals/partridge.jpg,Birds,1,143,stimuli/animals/salamander.jpg,ReptilesAmph,1,1,stimuli/cues/cue_white.jpg,1
8,2,56,1,106,stimuli/animals/seahorse.jpg,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,74,stimuli/animals/reindeer.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
8,2,57,2,186,stimuli/tools/drill.jpg,2,265,stimuli/tools/planer.jpg,Toolbox,2,186,stimuli/tools/drill.jpg,Powertools,2,2,stimuli/cues/cue_green.jpg,5
8,2,58,1,148,stimuli/animals/cranebug.jpg,1,48,stimuli/animals/hippo.jpg,Mammals,1,148,stimuli/animals/cranebug.jpg,Invertebrates,1,2,stimuli/cues/cue_white.jpg,1
8,2,59,2,271,stimuli/tools/oven.jpg,2,271,stimuli/tools/oven.jpg,Household,2,287,stimuli/tools/scale.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
8,2,60,1,14,stimuli/animals/tiger.jpg,1,104,stimuli/animals/lemur.jpg,Mammals,1,14,stimuli/animals/tiger.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
