order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
5,2,1,2,206,2,314,stimuli/tools/circlecutter.jpg,Household,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,2,2
5,2,2,2,288,2,288,stimuli/tools/snowbrush.jpg,Powertools,2,312,stimuli/tools/pressuregauge.jpg,Toolbox,2,1
5,2,3,2,217,2,188,stimuli/tools/bolt.jpg,Toolbox,2,217,stimuli/tools/blower.jpg,Powertools,2,2
5,2,4,1,155,1,49,stimuli/animals/llama.jpg,Mammals,1,155,stimuli/animals/balloonfish.jpg,SeaDwellers,1,2
5,2,5,1,19,1,19,stimuli/animals/panda.jpg,Mammals,1,85,stimuli/animals/hummingbird.jpg,Birds,1,1
5,2,6,1,47,1,47,stimuli/animals/bluejay.jpg,Birds,1,173,stimuli/animals/phasmagigas.jpg,Invertebrates,1,1
5,2,7,2,255,2,298,stimuli/tools/paintgun.jpg,Powertools,2,255,stimuli/tools/dremel.jpg,Toolbox,2,2
5,2,8,2,252,2,252,stimuli/tools/paintroller.jpg,Household,2,201,stimuli/tools/electricdrill.jpg,Powertools,2,1
5,2,9,2,220,2,220,stimuli/tools/jumpercables.jpg,Toolbox,2,218,stimuli/tools/drillbit.jpg,Powertools,2,1
5,2,10,1,113,1,113,stimuli/animals/moth.jpg,Invertebrates,1,53,stimuli/animals/baldeagle.jpg,Birds,1,1
5,2,11,2,292,2,292,stimuli/tools/burnisher.jpg,Toolbox,2,225,stimuli/tools/gardenhose.jpg,Household,2,1
5,2,12,2,339,2,354,stimuli/tools/typewriter.jpg,Household,2,339,stimuli/tools/weldinghelmet.jpg,Toolbox,2,2
5,2,13,2,263,2,184,stimuli/tools/fishtailchisel.jpg,Toolbox,2,263,stimuli/tools/mixer.jpg,Household,2,2
5,2,14,1,80,1,80,stimuli/animals/heckcattle.jpg,Mammals,1,164,stimuli/animals/shieldbug.jpg,Invertebrates,1,1
5,2,15,1,69,1,69,stimuli/animals/porcupine.jpg,Mammals,1,41,stimuli/animals/monkey.jpg,Mammals,1,1
5,2,16,2,349,2,349,stimuli/tools/faxmachine.jpg,Devices,2,268,stimuli/tools/fan.jpg,Household,2,1
5,2,17,1,168,1,168,stimuli/animals/bushdog.jpg,Mammals,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,1,1
5,2,18,2,304,2,304,stimuli/tools/watch.jpg,Devices,2,273,stimuli/tools/extensioncord.jpg,Household,2,1
5,2,19,2,210,2,210,stimuli/tools/glove.jpg,Household,2,256,stimuli/tools/drillpress.jpg,Powertools,2,1
5,2,20,2,358,2,358,stimuli/tools/crutches.jpg,Household,2,274,stimuli/tools/hairdryer.jpg,Household,2,1
5,2,21,1,134,1,134,stimuli/animals/caracal.jpg,Mammals,1,102,stimuli/animals/ferret.jpg,Mammals,1,1
5,2,22,2,211,2,211,stimuli/tools/paintbrush.jpg,Household,2,231,stimuli/tools/squeegee.jpg,Toolbox,2,1
5,2,23,1,180,1,81,stimuli/animals/ostrich.jpg,Birds,1,180,stimuli/animals/assassinbug.jpg,Invertebrates,1,2
5,2,24,2,302,2,302,stimuli/tools/pencilsharpener.jpg,Devices,2,227,stimuli/tools/wateringcan.jpg,Household,2,1
5,2,25,2,352,2,352,stimuli/tools/jawsoflife.jpg,Toolbox,2,316,stimuli/tools/grapplinghook.jpg,Toolbox,2,1
5,2,26,1,176,1,154,stimuli/animals/mahimahi.jpg,SeaDwellers,1,176,stimuli/animals/firebug.jpg,Invertebrates,1,2
5,2,27,1,128,1,128,stimuli/animals/cod.jpg,SeaDwellers,1,121,stimuli/animals/chinchilla.jpg,Mammals,1,1
5,2,28,2,327,2,327,stimuli/tools/sparkplug.jpg,Toolbox,2,356,stimuli/tools/videogamecontroller.jpg,Devices,2,1
5,2,29,2,350,2,224,stimuli/tools/bucket.jpg,Household,2,350,stimuli/tools/beadingtool.jpg,Toolbox,2,2
5,2,30,1,98,1,66,stimuli/animals/peacock.jpg,Birds,1,98,stimuli/animals/wasp.jpg,Invertebrates,1,2
5,2,31,2,214,2,214,stimuli/tools/toolbox.jpg,Toolbox,2,191,stimuli/tools/ladder.jpg,Household,2,1
5,2,32,1,34,1,34,stimuli/animals/owl.jpg,Birds,1,166,stimuli/animals/ibises.jpg,Birds,1,1
5,2,33,1,54,1,54,stimuli/animals/bison.jpg,Mammals,1,11,stimuli/animals/elephantafrican.jpg,Mammals,1,1
5,2,34,1,61,1,112,stimuli/animals/crab.jpg,SeaDwellers,1,61,stimuli/animals/chipmunk.jpg,Mammals,1,2
5,2,35,2,260,2,270,stimuli/tools/microscope.jpg,Household,2,260,stimuli/tools/carjack.jpg,Toolbox,2,2
5,2,36,1,97,1,5,stimuli/animals/horse.jpg,Mammals,1,97,stimuli/animals/hedgehog.jpg,Mammals,1,2
5,2,37,1,22,1,22,stimuli/animals/giraffe.jpg,Mammals,1,151,stimuli/animals/flounder.jpg,SeaDwellers,1,1
