order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
6,2,1,2,227,2,225,stimuli/tools/gardenhose.jpg,Household,2,227,stimuli/tools/wateringcan.jpg,Household,2,2
6,2,2,1,47,1,78,stimuli/animals/canary.jpg,Birds,1,47,stimuli/animals/bluejay.jpg,Birds,1,2
6,2,3,1,16,1,16,stimuli/animals/dolphin.jpg,SeaDwellers,1,152,stimuli/animals/clam.jpg,SeaDwellers,1,1
6,2,4,2,354,2,354,stimuli/tools/typewriter.jpg,Household,2,228,stimuli/tools/cuttingboard.jpg,Household,2,1
6,2,5,1,158,1,158,stimuli/animals/pachnoda.jpg,Invertebrates,1,110,stimuli/animals/beta.jpg,SeaDwellers,1,1
6,2,6,1,109,1,95,stimuli/animals/prairiedog.jpg,Mammals,1,109,stimuli/animals/starfish.jpg,SeaDwellers,1,2
6,2,7,2,323,2,356,stimuli/tools/videogamecontroller.jpg,Devices,2,323,stimuli/tools/weldershammer.jpg,Toolbox,2,2
6,2,8,1,144,1,144,stimuli/animals/skunk.jpg,Mammals,1,159,stimuli/animals/tragopan.jpg,Birds,1,1
6,2,9,2,349,2,285,stimuli/tools/pick.jpg,Toolbox,2,349,stimuli/tools/faxmachine.jpg,Devices,2,2
6,2,10,2,230,2,230,stimuli/tools/sponge.jpg,Household,2,318,stimuli/tools/stopwatch.jpg,Devices,2,1
6,2,11,1,33,1,1,stimuli/animals/cat.jpg,Mammals,1,33,stimuli/animals/cheetah.jpg,Mammals,1,2
6,2,12,2,299,2,299,stimuli/tools/coathanger.jpg,Household,2,350,stimuli/tools/beadingtool.jpg,Toolbox,2,1
6,2,13,1,6,1,126,stimuli/animals/redpanda.jpg,Mammals,1,6,stimuli/animals/pigeon.jpg,Birds,1,2
6,2,14,1,61,1,61,stimuli/animals/chipmunk.jpg,Mammals,1,12,stimuli/animals/racoon.jpg,Mammals,1,1
6,2,15,1,118,1,118,stimuli/animals/herring.jpg,SeaDwellers,1,178,stimuli/animals/beetle.jpg,Invertebrates,1,1
6,2,16,2,243,2,338,stimuli/tools/tubingbender.jpg,Toolbox,2,243,stimuli/tools/tongs.jpg,Household,2,2
6,2,17,1,39,1,103,stimuli/animals/prayingmantis.jpg,Invertebrates,1,39,stimuli/animals/gorilla.jpg,Mammals,1,2
6,2,18,1,62,1,62,stimuli/animals/goat.jpg,Mammals,1,156,stimuli/animals/mealworm.jpg,Invertebrates,1,1
6,2,19,2,342,2,342,stimuli/tools/crank.jpg,Toolbox,2,329,stimuli/tools/auger.jpg,Toolbox,2,1
6,2,20,1,100,1,100,stimuli/animals/finch.jpg,Birds,1,73,stimuli/animals/pike.jpg,SeaDwellers,1,1
6,2,21,1,108,1,108,stimuli/animals/carp.jpg,SeaDwellers,1,37,stimuli/animals/baboon.jpg,Mammals,1,1
6,2,22,2,216,2,253,stimuli/tools/pencil.jpg,Household,2,216,stimuli/tools/viceclamp.jpg,Toolbox,2,2
6,2,23,2,311,2,295,stimuli/tools/grill.jpg,Household,2,311,stimuli/tools/curlingiron.jpg,Household,2,2
6,2,24,1,151,1,24,stimuli/animals/mouse.jpg,Mammals,1,151,stimuli/animals/flounder.jpg,SeaDwellers,1,2
6,2,25,1,9,1,141,stimuli/animals/gecko.jpg,ReptilesAmph,1,9,stimuli/animals/rooster.jpg,Birds,1,2
6,2,26,1,145,1,49,stimuli/animals/llama.jpg,Mammals,1,145,stimuli/animals/vulture.jpg,Birds,1,2
6,2,27,2,274,2,211,stimuli/tools/paintbrush.jpg,Household,2,274,stimuli/tools/hairdryer.jpg,Household,2,2
6,2,28,1,52,1,26,stimuli/animals/rhino.jpg,Mammals,1,52,stimuli/animals/otter.jpg,Mammals,1,2
6,2,29,2,200,2,200,stimuli/tools/clippers.jpg,Toolbox,2,218,stimuli/tools/drillbit.jpg,Powertools,2,1
6,2,30,2,188,2,188,stimuli/tools/bolt.jpg,Toolbox,2,304,stimuli/tools/watch.jpg,Devices,2,1
6,2,31,2,352,2,281,stimuli/tools/file.jpg,Household,2,352,stimuli/tools/jawsoflife.jpg,Toolbox,2,2
6,2,32,1,146,1,146,stimuli/animals/anteater.jpg,Mammals,1,3,stimuli/animals/rabbit.jpg,Mammals,1,1
6,2,33,2,271,2,271,stimuli/tools/oven.jpg,Household,2,246,stimuli/tools/plunger.jpg,Household,2,1
6,2,34,2,233,2,222,stimuli/tools/measuringcups.jpg,Household,2,233,stimuli/tools/weedeater.jpg,Powertools,2,2
6,2,35,1,69,1,155,stimuli/animals/balloonfish.jpg,SeaDwellers,1,69,stimuli/animals/porcupine.jpg,Mammals,1,2
6,2,36,1,75,1,75,stimuli/animals/snail.jpg,Invertebrates,1,81,stimuli/animals/ostrich.jpg,Birds,1,1
6,2,37,2,255,2,255,stimuli/tools/dremel.jpg,Toolbox,2,191,stimuli/tools/ladder.jpg,Household,2,1
6,2,38,1,72,1,79,stimuli/animals/deer.jpg,Mammals,1,72,stimuli/animals/koala.jpg,Mammals,1,2
6,2,39,2,221,2,185,stimuli/tools/circularsaw.jpg,Powertools,2,221,stimuli/tools/lawnmower.jpg,Household,2,2
6,2,40,1,154,1,154,stimuli/animals/mahimahi.jpg,SeaDwellers,1,59,stimuli/animals/rainbowtrout.jpg,SeaDwellers,1,1
6,2,41,2,280,2,280,stimuli/tools/cheesegrater.jpg,Household,2,337,stimuli/tools/duffelbag.jpg,Household,2,1
6,2,42,1,19,1,139,stimuli/animals/armadillo.jpg,Mammals,1,19,stimuli/animals/panda.jpg,Mammals,1,2
6,2,43,1,134,1,71,stimuli/animals/butterfly.jpg,Invertebrates,1,134,stimuli/animals/caracal.jpg,Mammals,1,2
6,2,44,2,302,2,192,stimuli/tools/shovel.jpg,Household,2,302,stimuli/tools/pencilsharpener.jpg,Devices,2,2
