order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
7,2,156,1,64,stimuli/animals/marmot.jpg,Mammals,2,3
7,2,157,2,333,stimuli/tools/treadmill.jpg,Devices,2,3
7,2,158,2,286,stimuli/tools/sander.jpg,Toolbox,2,3
7,2,159,2,335,stimuli/tools/binoculars.jpg,Household,2,3
7,2,160,1,52,stimuli/animals/otter.jpg,Mammals,1,1
7,2,161,1,148,stimuli/animals/cranebug.jpg,Invertebrates,2,3
7,2,162,2,264,stimuli/tools/mop.jpg,Household,2,3
7,2,163,2,356,stimuli/tools/videogamecontroller.jpg,Devices,2,3
7,2,164,2,344,stimuli/tools/lantern.jpg,Household,1,2
7,2,165,2,302,stimuli/tools/pencilsharpener.jpg,Devices,2,3
7,2,166,2,332,stimuli/tools/reflexhammer.jpg,Household,2,3
7,2,167,1,159,stimuli/animals/tragopan.jpg,Birds,2,3
7,2,168,2,337,stimuli/tools/duffelbag.jpg,Household,1,2
7,2,169,2,293,stimuli/tools/calculator.jpg,Devices,2,3
7,2,170,1,169,stimuli/animals/halibut.jpg,SeaDwellers,1,2
7,2,171,1,152,stimuli/animals/clam.jpg,SeaDwellers,2,3
7,2,172,1,80,stimuli/animals/heckcattle.jpg,Mammals,1,2
7,2,173,1,166,stimuli/animals/ibises.jpg,Birds,2,3
7,2,174,2,308,stimuli/tools/blender.jpg,Household,2,3
7,2,175,1,23,stimuli/animals/mountainsheep.jpg,Mammals,2,3
7,2,176,2,271,stimuli/tools/oven.jpg,Household,1,1
7,2,177,2,298,stimuli/tools/paintgun.jpg,Powertools,1,2
7,2,178,2,294,stimuli/tools/fertilzerspread.jpg,Household,1,2
7,2,179,1,45,stimuli/animals/moose.jpg,Mammals,1,2
7,2,180,1,54,stimuli/animals/bison.jpg,Mammals,2,3
7,2,181,1,14,stimuli/animals/tiger.jpg,Mammals,1,2
7,2,182,1,69,stimuli/animals/porcupine.jpg,Mammals,2,3
7,2,183,1,57,stimuli/animals/kangaroo.jpg,Mammals,1,1
7,2,184,1,96,stimuli/animals/toucan.jpg,Birds,1,2
7,2,185,1,161,stimuli/animals/catfish.jpg,SeaDwellers,1,2
7,2,186,2,209,stimuli/tools/broom.jpg,Household,1,2
7,2,187,2,336,stimuli/tools/chainwrench.jpg,Toolbox,2,3
7,2,188,1,128,stimuli/animals/cod.jpg,SeaDwellers,1,1
7,2,189,2,248,stimuli/tools/cart.jpg,Household,1,1
7,2,190,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,1,2
7,2,191,2,260,stimuli/tools/carjack.jpg,Toolbox,2,3
7,2,192,2,237,stimuli/tools/computermouse.jpg,Devices,1,1
7,2,193,2,284,stimuli/tools/nailgun.jpg,Powertools,1,1
7,2,194,1,48,stimuli/animals/hippo.jpg,Mammals,2,3
7,2,195,2,325,stimuli/tools/microwave.jpg,Devices,2,3
7,2,196,1,156,stimuli/animals/mealworm.jpg,Invertebrates,1,2
7,2,197,2,346,stimuli/tools/bevelgauge.jpg,Devices,1,1
7,2,198,2,226,stimuli/tools/transmissionwrench.jpg,Toolbox,1,2
7,2,199,1,74,stimuli/animals/reindeer.jpg,Mammals,1,1
7,2,200,2,323,stimuli/tools/weldershammer.jpg,Toolbox,1,1
7,2,201,1,47,stimuli/animals/bluejay.jpg,Birds,1,1
7,2,202,1,142,stimuli/animals/palmcockatoo.jpg,Birds,1,1
7,2,203,2,350,stimuli/tools/beadingtool.jpg,Toolbox,2,3
7,2,204,2,283,stimuli/tools/magnet.jpg,Household,2,3
7,2,205,2,321,stimuli/tools/tirespoon.jpg,Toolbox,2,3
7,2,206,2,188,stimuli/tools/bolt.jpg,Toolbox,1,2
7,2,207,1,37,stimuli/animals/baboon.jpg,Mammals,2,3
7,2,208,2,351,stimuli/tools/beaker.jpg,Household,1,1
7,2,209,2,299,stimuli/tools/coathanger.jpg,Household,2,3
7,2,210,1,61,stimuli/animals/chipmunk.jpg,Mammals,2,3
7,2,211,1,76,stimuli/animals/sparrow.jpg,Birds,2,3
7,2,212,1,26,stimuli/animals/rhino.jpg,Mammals,1,2
7,2,213,1,118,stimuli/animals/herring.jpg,SeaDwellers,1,1
7,2,214,2,313,stimuli/tools/airpump.jpg,Household,1,1
7,2,215,1,4,stimuli/animals/cow.jpg,Mammals,2,3
7,2,216,2,189,stimuli/tools/measuringtape.jpg,Toolbox,1,2
7,2,217,2,203,stimuli/tools/chainsaw.jpg,Powertools,1,1
7,2,218,2,352,stimuli/tools/jawsoflife.jpg,Toolbox,1,1
7,2,219,2,234,stimuli/tools/whisk.jpg,Household,2,3
7,2,220,2,254,stimuli/tools/toaster.jpg,Household,1,1
7,2,221,2,331,stimuli/tools/gentssaw.jpg,Toolbox,2,3
7,2,222,1,38,stimuli/animals/fox.jpg,Mammals,1,2
7,2,223,1,50,stimuli/animals/lobster.jpg,SeaDwellers,1,1
7,2,224,2,266,stimuli/tools/workbench.jpg,Powertools,1,1
7,2,225,2,192,stimuli/tools/shovel.jpg,Household,1,1
7,2,226,2,222,stimuli/tools/measuringcups.jpg,Household,2,3
7,2,227,1,12,stimuli/animals/racoon.jpg,Mammals,2,3
7,2,228,2,198,stimuli/tools/electricbreaker.jpg,Powertools,2,3
7,2,229,1,107,stimuli/animals/bass.jpg,SeaDwellers,2,3
7,2,230,1,22,stimuli/animals/giraffe.jpg,Mammals,2,3
7,2,231,1,70,stimuli/animals/bumblebee.jpg,Invertebrates,1,2
7,2,232,2,236,stimuli/tools/chisel.jpg,Toolbox,1,2
7,2,233,1,143,stimuli/animals/salamander.jpg,ReptilesAmph,2,3
7,2,234,1,95,stimuli/animals/prairiedog.jpg,Mammals,2,3
7,2,235,2,202,stimuli/tools/flashlight.jpg,Household,2,3
7,2,236,1,56,stimuli/animals/donkey.jpg,Mammals,2,3
7,2,237,2,233,stimuli/tools/weedeater.jpg,Powertools,1,1
7,2,238,1,103,stimuli/animals/prayingmantis.jpg,Invertebrates,2,3
7,2,239,1,134,stimuli/animals/caracal.jpg,Mammals,2,3
7,2,240,1,99,stimuli/animals/waterdragon.jpg,ReptilesAmph,2,3
