order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
4,1,1,2,287,stimuli/tools/scale.jpg,2,215,stimuli/tools/trowel.jpg,Toolbox,2,287,stimuli/tools/scale.jpg,Household,2,2,stimuli/cues/cue_white.jpg,1
4,1,2,2,301,stimuli/tools/electricsander.jpg,2,301,stimuli/tools/electricsander.jpg,Powertools,2,195,stimuli/tools/level.jpg,Toolbox,2,1,stimuli/cues/cue_white.jpg,1
4,1,3,1,77,stimuli/animals/watusi.jpg,1,90,stimuli/animals/manatee.jpg,SeaDwellers,1,77,stimuli/animals/watusi.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
4,1,4,1,9,stimuli/animals/rooster.jpg,1,91,stimuli/animals/bat.jpg,Mammals,1,9,stimuli/animals/rooster.jpg,Birds,1,2,stimuli/cues/cue_green.jpg,5
4,1,5,2,326,stimuli/tools/ropeandpulley.jpg,2,326,stimuli/tools/ropeandpulley.jpg,Household,2,225,stimuli/tools/gardenhose.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
4,1,6,2,232,stimuli/tools/umbrella.jpg,2,232,stimuli/tools/umbrella.jpg,Household,2,275,stimuli/tools/ladel.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
4,1,7,2,346,stimuli/tools/bevelgauge.jpg,2,308,stimuli/tools/blender.jpg,Household,2,346,stimuli/tools/bevelgauge.jpg,Devices,2,2,stimuli/cues/cue_white.jpg,1
4,1,8,1,169,stimuli/animals/halibut.jpg,1,169,stimuli/animals/halibut.jpg,SeaDwellers,1,151,stimuli/animals/flounder.jpg,SeaDwellers,1,1,stimuli/cues/cue_green.jpg,5
4,1,9,1,4,stimuli/animals/cow.jpg,1,4,stimuli/animals/cow.jpg,Mammals,1,24,stimuli/animals/mouse.jpg,Mammals,1,1,stimuli/cues/cue_green.jpg,5
4,1,10,2,199,stimuli/tools/vicegrips.jpg,2,199,stimuli/tools/vicegrips.jpg,Toolbox,2,295,stimuli/tools/grill.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
4,1,11,1,10,stimuli/animals/chicken.jpg,1,109,stimuli/animals/starfish.jpg,SeaDwellers,1,10,stimuli/animals/chicken.jpg,Birds,1,2,stimuli/cues/cue_green.jpg,5
4,1,12,2,230,stimuli/tools/sponge.jpg,2,230,stimuli/tools/sponge.jpg,Household,2,337,stimuli/tools/duffelbag.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
