order,conditionedCat,block,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
5,2,1,1,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,2,3
5,2,1,2,2,266,stimuli/tools/workbench.jpg,Powertools,2,3
5,2,1,3,2,216,stimuli/tools/viceclamp.jpg,Toolbox,2,3
5,2,1,4,1,143,stimuli/animals/salamander.jpg,ReptilesAmph,2,3
5,2,1,5,2,260,stimuli/tools/carjack.jpg,Toolbox,1,1
5,2,1,6,1,28,stimuli/animals/duck.jpg,Birds,2,3
5,2,1,7,1,145,stimuli/animals/vulture.jpg,Birds,1,2
5,2,1,8,2,214,stimuli/tools/toolbox.jpg,Toolbox,1,1
5,2,1,9,2,322,stimuli/tools/walker.jpg,Household,2,3
5,2,1,10,1,2,stimuli/animals/dog.jpg,Mammals,2,3
5,2,1,11,2,306,stimuli/tools/floorbuffer.jpg,Household,2,3
5,2,1,12,2,265,stimuli/tools/planer.jpg,Toolbox,1,2
5,2,1,13,2,321,stimuli/tools/tirespoon.jpg,Toolbox,2,3
5,2,1,14,2,304,stimuli/tools/watch.jpg,Devices,1,1
5,2,1,15,2,195,stimuli/tools/level.jpg,Toolbox,2,3
5,2,1,16,1,22,stimuli/animals/giraffe.jpg,Mammals,1,1
5,2,1,17,2,220,stimuli/tools/jumpercables.jpg,Toolbox,1,1
5,2,1,18,1,168,stimuli/animals/bushdog.jpg,Mammals,1,1
5,2,1,19,1,45,stimuli/animals/moose.jpg,Mammals,1,2
5,2,1,20,2,282,stimuli/tools/keys.jpg,Household,2,3
5,2,1,21,2,192,stimuli/tools/shovel.jpg,Household,1,1
5,2,1,22,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,1
5,2,1,23,2,335,stimuli/tools/binoculars.jpg,Household,1,1
5,2,1,24,1,93,stimuli/animals/gerbil.jpg,Mammals,2,3
5,2,1,25,1,64,stimuli/animals/marmot.jpg,Mammals,1,2
5,2,1,26,1,156,stimuli/animals/mealworm.jpg,Invertebrates,2,3
5,2,1,27,2,221,stimuli/tools/lawnmower.jpg,Household,2,3
5,2,1,28,2,245,stimuli/tools/padlock.jpg,Household,2,3
