order,conditionedCat,block,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
6,2,1,1,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,2,3
6,2,1,2,1,132,stimuli/animals/octopus.jpg,SeaDwellers,2,3
6,2,1,3,2,195,stimuli/tools/level.jpg,Toolbox,2,3
6,2,1,4,2,312,stimuli/tools/pressuregauge.jpg,Toolbox,1,2
6,2,1,5,2,264,stimuli/tools/mop.jpg,Household,2,3
6,2,1,6,1,115,stimuli/animals/boar.jpg,Mammals,2,3
6,2,1,7,2,324,stimuli/tools/lighterbic.jpg,Household,2,3
6,2,1,8,2,181,stimuli/tools/hammer.jpg,Toolbox,2,3
6,2,1,9,1,72,stimuli/animals/koala.jpg,Mammals,1,1
6,2,1,10,1,138,stimuli/animals/angelfish.jpg,SeaDwellers,1,2
6,2,1,11,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,2,3
6,2,1,12,2,316,stimuli/tools/grapplinghook.jpg,Toolbox,2,3
6,2,1,13,2,233,stimuli/tools/weedeater.jpg,Powertools,1,1
6,2,1,14,1,172,stimuli/animals/plantbug.jpg,Invertebrates,1,2
6,2,1,15,2,305,stimuli/tools/whistle.jpg,Household,2,3
6,2,1,16,2,230,stimuli/tools/sponge.jpg,Household,1,1
6,2,1,17,1,69,stimuli/animals/porcupine.jpg,Mammals,1,1
6,2,1,18,1,125,stimuli/animals/ladybug.jpg,Invertebrates,1,2
6,2,1,19,2,315,stimuli/tools/generator.jpg,Devices,2,3
6,2,1,20,1,52,stimuli/animals/otter.jpg,Mammals,1,1
6,2,1,21,2,214,stimuli/tools/toolbox.jpg,Toolbox,2,3
6,2,1,22,2,346,stimuli/tools/bevelgauge.jpg,Devices,2,3
6,2,1,23,2,291,stimuli/tools/battery.jpg,Household,1,2
6,2,1,24,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
6,2,1,25,2,221,stimuli/tools/lawnmower.jpg,Household,1,1
6,2,1,26,1,19,stimuli/animals/panda.jpg,Mammals,1,1
6,2,1,27,1,74,stimuli/animals/reindeer.jpg,Mammals,2,3
6,2,1,28,2,274,stimuli/tools/hairdryer.jpg,Household,1,1
6,2,1,29,1,77,stimuli/animals/watusi.jpg,Mammals,1,2
6,2,1,30,1,121,stimuli/animals/chinchilla.jpg,Mammals,2,3
6,2,1,31,1,144,stimuli/animals/skunk.jpg,Mammals,1,1
6,2,1,32,1,168,stimuli/animals/bushdog.jpg,Mammals,1,2
6,2,1,33,2,360,stimuli/tools/engine.jpg,Devices,1,2
6,2,1,34,2,270,stimuli/tools/microscope.jpg,Household,1,2
6,2,1,35,1,51,stimuli/animals/meerkat.jpg,Mammals,2,3
6,2,1,36,2,190,stimuli/tools/ruler.jpg,Household,2,3
6,2,1,37,2,271,stimuli/tools/oven.jpg,Household,1,1
6,2,1,38,1,33,stimuli/animals/cheetah.jpg,Mammals,1,1
6,2,1,39,2,323,stimuli/tools/weldershammer.jpg,Toolbox,1,1
6,2,1,40,1,41,stimuli/animals/monkey.jpg,Mammals,1,2
6,2,1,41,1,6,stimuli/animals/pigeon.jpg,Birds,1,1
6,2,1,42,1,143,stimuli/animals/salamander.jpg,ReptilesAmph,1,2
6,2,1,43,2,357,stimuli/tools/washboard.jpg,Household,2,3
6,2,1,44,2,289,stimuli/tools/sprinkler.jpg,Household,1,2
6,2,1,45,2,182,stimuli/tools/pliers.jpg,Toolbox,2,3
6,2,1,46,1,54,stimuli/animals/bison.jpg,Mammals,2,3
6,2,1,47,2,209,stimuli/tools/broom.jpg,Household,2,3
6,2,1,48,1,93,stimuli/animals/gerbil.jpg,Mammals,1,2
6,2,1,49,2,292,stimuli/tools/burnisher.jpg,Toolbox,1,2
6,2,1,50,2,317,stimuli/tools/routerplane.jpg,Toolbox,2,3
6,2,1,51,1,134,stimuli/animals/caracal.jpg,Mammals,1,1
6,2,1,52,2,282,stimuli/tools/keys.jpg,Household,2,3
6,2,1,53,1,35,stimuli/animals/salmon.jpg,SeaDwellers,2,3
6,2,1,54,1,4,stimuli/animals/cow.jpg,Mammals,2,3
6,2,1,55,2,243,stimuli/tools/tongs.jpg,Household,1,1
6,2,1,56,1,145,stimuli/animals/vulture.jpg,Birds,1,1
6,2,1,57,2,330,stimuli/tools/foodprocessor.jpg,Household,1,2
6,2,1,58,2,296,stimuli/tools/handdrill.jpg,Toolbox,1,2
6,2,1,59,2,238,stimuli/tools/edger.jpg,Powertools,1,1
6,2,1,60,2,359,stimuli/tools/electricpipethreader.jpg,Powertools,2,3
6,2,1,61,1,62,stimuli/animals/goat.jpg,Mammals,1,1
6,2,2,62,2,294,stimuli/tools/fertilzerspread.jpg,Household,2,3
6,2,2,63,1,107,stimuli/animals/bass.jpg,SeaDwellers,2,3
6,2,2,64,2,311,stimuli/tools/curlingiron.jpg,Household,1,1
6,2,2,65,2,297,stimuli/tools/nails.jpg,Toolbox,2,3
6,2,2,66,1,47,stimuli/animals/bluejay.jpg,Birds,1,1
6,2,2,67,2,216,stimuli/tools/viceclamp.jpg,Toolbox,1,1
6,2,2,68,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
6,2,2,69,1,166,stimuli/animals/ibises.jpg,Birds,1,1
6,2,2,70,1,123,stimuli/animals/earthworm.jpg,Invertebrates,2,3
6,2,2,71,1,56,stimuli/animals/donkey.jpg,Mammals,2,3
6,2,2,72,1,39,stimuli/animals/gorilla.jpg,Mammals,1,1
6,2,2,73,2,325,stimuli/tools/microwave.jpg,Devices,1,2
6,2,2,74,1,109,stimuli/animals/starfish.jpg,SeaDwellers,1,1
6,2,2,75,2,229,stimuli/tools/hedgeshears.jpg,Powertools,2,3
6,2,2,76,2,234,stimuli/tools/whisk.jpg,Household,1,2
6,2,2,77,1,98,stimuli/animals/wasp.jpg,Invertebrates,2,3
6,2,2,78,1,108,stimuli/animals/carp.jpg,SeaDwellers,1,1
6,2,2,79,1,175,stimuli/animals/herculesbeetle.jpg,Invertebrates,1,2
6,2,2,80,2,279,stimuli/tools/headphones.jpg,Devices,2,3
6,2,2,81,2,306,stimuli/tools/floorbuffer.jpg,Household,2,3
6,2,2,82,1,90,stimuli/animals/manatee.jpg,SeaDwellers,2,3
6,2,2,83,2,293,stimuli/tools/calculator.jpg,Devices,2,3
6,2,2,84,2,268,stimuli/tools/fan.jpg,Household,2,3
6,2,2,85,1,45,stimuli/animals/moose.jpg,Mammals,1,2
6,2,2,86,2,255,stimuli/tools/dremel.jpg,Toolbox,1,1
6,2,2,87,2,336,stimuli/tools/chainwrench.jpg,Toolbox,2,3
6,2,2,88,1,61,stimuli/animals/chipmunk.jpg,Mammals,1,1
6,2,2,89,1,18,stimuli/animals/macaw.jpg,Birds,2,3
6,2,2,90,1,102,stimuli/animals/ferret.jpg,Mammals,2,3
6,2,2,91,2,348,stimuli/tools/carpetblower.jpg,Powertools,1,1
6,2,2,92,2,212,stimuli/tools/scissors.jpg,Toolbox,2,3
6,2,2,93,1,16,stimuli/animals/dolphin.jpg,SeaDwellers,1,1
6,2,2,94,1,32,stimuli/animals/turtle.jpg,ReptilesAmph,2,3
6,2,2,95,2,307,stimuli/tools/anvil.jpg,Toolbox,2,3
6,2,2,96,1,36,stimuli/animals/seal.jpg,SeaDwellers,2,3
6,2,2,97,1,58,stimuli/animals/perch.jpg,SeaDwellers,2,3
6,2,2,98,2,187,stimuli/tools/saw.jpg,Toolbox,1,1
6,2,2,99,1,118,stimuli/animals/herring.jpg,SeaDwellers,1,1
6,2,2,100,2,354,stimuli/tools/typewriter.jpg,Household,1,1
6,2,2,101,1,171,stimuli/animals/woodlouse.jpg,Invertebrates,2,3
6,2,2,102,2,248,stimuli/tools/cart.jpg,Household,1,2
6,2,2,103,1,167,stimuli/animals/leafinsect.jpg,Invertebrates,2,3
6,2,2,104,2,198,stimuli/tools/electricbreaker.jpg,Powertools,1,2
6,2,2,105,1,154,stimuli/animals/mahimahi.jpg,SeaDwellers,1,1
6,2,2,106,2,310,stimuli/tools/compass.jpg,Toolbox,2,3
6,2,2,107,1,99,stimuli/animals/waterdragon.jpg,ReptilesAmph,2,3
6,2,2,108,1,120,stimuli/animals/sugarglider.jpg,Mammals,2,3
6,2,2,109,1,89,stimuli/animals/dove.jpg,Birds,1,1
6,2,2,110,2,263,stimuli/tools/mixer.jpg,Household,2,3
6,2,2,111,2,355,stimuli/tools/telephone.jpg,Devices,1,2
6,2,2,112,1,150,stimuli/animals/millipede.jpg,Invertebrates,2,3
6,2,2,113,2,320,stimuli/tools/tirespoon.jpg,Toolbox,1,2
6,2,2,114,2,215,stimuli/tools/trowel.jpg,Toolbox,2,3
6,2,2,115,1,31,stimuli/animals/ram.jpg,Mammals,2,3
6,2,2,116,1,153,stimuli/animals/hyena.jpg,Mammals,2,3
6,2,2,117,1,114,stimuli/animals/snapper.jpg,SeaDwellers,1,2
6,2,2,118,2,342,stimuli/tools/crank.jpg,Toolbox,1,1
6,2,2,119,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,1,2
6,2,2,120,1,94,stimuli/animals/jackal.jpg,Mammals,1,2
6,2,2,121,1,17,stimuli/animals/leopard.jpg,Mammals,1,2
6,2,2,122,1,127,stimuli/animals/slug.jpg,Invertebrates,1,2
6,2,3,123,2,201,stimuli/tools/electricdrill.jpg,Powertools,1,2
6,2,3,124,2,299,stimuli/tools/coathanger.jpg,Household,1,1
6,2,3,125,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,2,3
6,2,3,126,1,92,stimuli/animals/bullfrog.jpg,ReptilesAmph,1,2
6,2,3,127,2,349,stimuli/tools/faxmachine.jpg,Devices,1,1
6,2,3,128,2,183,stimuli/tools/wrench.jpg,Toolbox,2,3
6,2,3,129,2,250,stimuli/tools/laptop.jpg,Devices,2,3
6,2,3,130,1,112,stimuli/animals/crab.jpg,SeaDwellers,2,3
6,2,3,131,1,149,stimuli/animals/quail.jpg,Birds,1,2
6,2,3,132,2,276,stimuli/tools/scratchawl.jpg,Toolbox,1,2
6,2,3,133,1,160,stimuli/animals/aardvark.jpg,Mammals,1,2
6,2,3,134,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
6,2,3,135,1,15,stimuli/animals/brown_bear.jpg,Mammals,1,2
6,2,3,136,1,174,stimuli/animals/malaysianjunglenymph.jpg,Invertebrates,2,3
6,2,3,137,1,11,stimuli/animals/elephantafrican.jpg,Mammals,2,3
6,2,3,138,2,334,stimuli/tools/tubeflaring.jpg,Toolbox,1,2
6,2,3,139,2,345,stimuli/tools/sewingmachine.jpg,Household,2,3
6,2,3,140,2,240,stimuli/tools/rollingpin.jpg,Household,1,1
6,2,3,141,2,287,stimuli/tools/scale.jpg,Household,1,1
6,2,3,142,2,254,stimuli/tools/toaster.jpg,Household,2,3
