order,conditionedCat,block,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
1,1,1,1,2,287,stimuli/tools/scale.jpg,Household,2,3
1,1,1,2,2,313,stimuli/tools/airpump.jpg,Household,1,1
1,1,1,3,2,261,stimuli/tools/caulkinggun.jpg,Household,1,2
1,1,1,4,2,272,stimuli/tools/sawblade.jpg,Toolbox,1,2
1,1,1,5,2,326,stimuli/tools/ropeandpulley.jpg,Household,2,3
1,1,1,6,1,38,stimuli/animals/fox.jpg,Mammals,1,2
1,1,1,7,1,169,stimuli/animals/halibut.jpg,SeaDwellers,2,3
1,1,1,8,1,34,stimuli/animals/owl.jpg,Birds,1,1
1,1,1,9,2,280,stimuli/tools/cheesegrater.jpg,Household,2,3
1,1,1,10,2,360,stimuli/tools/engine.jpg,Devices,2,3
1,1,1,11,1,170,stimuli/animals/partridge.jpg,Birds,2,3
1,1,1,12,1,31,stimuli/animals/ram.jpg,Mammals,2,3
1,1,1,13,2,242,stimuli/tools/thermometer.jpg,Household,2,3
1,1,1,14,1,171,stimuli/animals/woodlouse.jpg,Invertebrates,2,3
1,1,1,15,2,344,stimuli/tools/lantern.jpg,Household,2,3
1,1,1,16,2,222,stimuli/tools/measuringcups.jpg,Household,2,3
1,1,1,17,1,43,stimuli/animals/flamingo.jpg,Birds,2,3
1,1,1,18,2,230,stimuli/tools/sponge.jpg,Household,1,1
1,1,1,19,1,97,stimuli/animals/hedgehog.jpg,Mammals,2,3
1,1,1,20,1,77,stimuli/animals/watusi.jpg,Mammals,2,3
1,1,1,21,2,351,stimuli/tools/beaker.jpg,Household,1,2
1,1,1,22,2,282,stimuli/tools/keys.jpg,Household,2,3
1,1,1,23,1,20,stimuli/animals/shrimp.jpg,SeaDwellers,2,3
1,1,1,24,1,145,stimuli/animals/vulture.jpg,Birds,1,1
1,1,1,25,2,207,stimuli/tools/ducttape.jpg,Household,1,2
1,1,1,26,1,67,stimuli/animals/waterbuffalo.jpg,Mammals,1,1
1,1,1,27,2,267,stimuli/tools/corkscrew.jpg,Household,2,3
1,1,1,28,1,10,stimuli/animals/chicken.jpg,Birds,2,3
1,1,1,29,2,194,stimuli/tools/hoe.jpg,Toolbox,2,3
1,1,1,30,2,259,stimuli/tools/smartphone.jpg,Devices,1,2
1,1,1,31,2,248,stimuli/tools/cart.jpg,Household,2,3
1,1,1,32,1,142,stimuli/animals/palmcockatoo.jpg,Birds,1,1
1,1,1,33,1,93,stimuli/animals/gerbil.jpg,Mammals,2,3
1,1,1,34,1,94,stimuli/animals/jackal.jpg,Mammals,1,2
1,1,1,35,2,339,stimuli/tools/weldinghelmet.jpg,Toolbox,2,3
1,1,1,36,2,290,stimuli/tools/stroller.jpg,Household,1,2
1,1,1,37,2,337,stimuli/tools/duffelbag.jpg,Household,2,3
1,1,1,38,1,71,stimuli/animals/butterfly.jpg,Invertebrates,1,1
1,1,1,39,1,41,stimuli/animals/monkey.jpg,Mammals,2,3
1,1,1,40,2,276,stimuli/tools/scratchawl.jpg,Toolbox,2,3
1,1,1,41,NA,NA,stimuli/attention_check/white.jpg,NA,NA,NA
1,1,1,42,1,29,stimuli/animals/penguin.jpg,Birds,2,3
1,1,1,43,2,294,stimuli/tools/fertilzerspread.jpg,Household,1,1
1,1,1,44,1,91,stimuli/animals/bat.jpg,Mammals,2,3
1,1,1,45,2,336,stimuli/tools/chainwrench.jpg,Toolbox,1,2
1,1,1,46,1,76,stimuli/animals/sparrow.jpg,Birds,1,1
1,1,1,47,1,42,stimuli/animals/frog.jpg,ReptilesAmph,2,3
1,1,1,48,1,135,stimuli/animals/highlandcow.jpg,Mammals,1,2
1,1,1,49,1,28,stimuli/animals/duck.jpg,Birds,2,3
1,1,1,50,2,338,stimuli/tools/tubingbender.jpg,Toolbox,2,3
1,1,1,51,2,353,stimuli/tools/television.jpg,Devices,2,3
1,1,1,52,2,273,stimuli/tools/extensioncord.jpg,Household,1,1
1,1,1,53,2,300,stimuli/tools/digitalcamera.jpg,Devices,1,2
1,1,1,54,1,81,stimuli/animals/ostrich.jpg,Birds,2,3
1,1,1,55,1,90,stimuli/animals/manatee.jpg,SeaDwellers,2,3
1,1,1,56,2,288,stimuli/tools/snowbrush.jpg,Powertools,2,3
1,1,1,57,1,88,stimuli/animals/blackleopard.jpg,Mammals,1,1
1,1,1,58,1,167,stimuli/animals/leafinsect.jpg,Invertebrates,1,1
1,1,1,59,1,95,stimuli/animals/prairiedog.jpg,Mammals,2,3
1,1,1,60,2,215,stimuli/tools/trowel.jpg,Toolbox,1,2
1,1,1,61,2,297,stimuli/tools/nails.jpg,Toolbox,2,3
1,1,2,62,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,1,1
1,1,2,63,2,203,stimuli/tools/chainsaw.jpg,Powertools,2,3
1,1,2,64,2,208,stimuli/tools/stapler.jpg,Household,1,1
1,1,2,65,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,1
1,1,2,66,1,137,stimuli/animals/springhare.jpg,Mammals,1,2
1,1,2,67,1,110,stimuli/animals/beta.jpg,SeaDwellers,1,2
1,1,2,68,2,225,stimuli/tools/gardenhose.jpg,Household,2,3
1,1,2,69,1,101,stimuli/animals/ant.jpg,Invertebrates,2,3
1,1,2,70,2,283,stimuli/tools/magnet.jpg,Household,2,3
1,1,2,71,2,255,stimuli/tools/dremel.jpg,Toolbox,1,1
1,1,2,72,2,340,stimuli/tools/woodchipper.jpg,Powertools,1,2
