order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
7,2,1,1,120,stimuli/animals/sugarglider.jpg,1,120,stimuli/animals/sugarglider.jpg,Mammals,1,109,stimuli/animals/starfish.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
7,2,2,2,251,stimuli/tools/measuringdevice.jpg,2,196,stimuli/tools/pruner.jpg,Toolbox,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
7,2,3,1,116,stimuli/animals/caiman.jpg,1,116,stimuli/animals/caiman.jpg,ReptilesAmph,1,46,stimuli/animals/pelican.jpg,Birds,1,1,stimuli/cues/cue_white.jpg,1
7,2,4,2,298,stimuli/tools/paintgun.jpg,2,279,stimuli/tools/headphones.jpg,Devices,2,298,stimuli/tools/paintgun.jpg,Powertools,2,2,stimuli/cues/cue_green.jpg,5
7,2,5,1,85,stimuli/animals/hummingbird.jpg,1,85,stimuli/animals/hummingbird.jpg,Birds,1,167,stimuli/animals/leafinsect.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
7,2,6,1,80,stimuli/animals/heckcattle.jpg,1,92,stimuli/animals/bullfrog.jpg,ReptilesAmph,1,80,stimuli/animals/heckcattle.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
7,2,7,2,338,stimuli/tools/tubingbender.jpg,2,184,stimuli/tools/fishtailchisel.jpg,Toolbox,2,338,stimuli/tools/tubingbender.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
7,2,8,1,108,stimuli/animals/carp.jpg,1,108,stimuli/animals/carp.jpg,SeaDwellers,1,124,stimuli/animals/koi.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
7,2,9,1,169,stimuli/animals/halibut.jpg,1,169,stimuli/animals/halibut.jpg,SeaDwellers,1,177,stimuli/animals/rosechafer.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
7,2,10,2,318,stimuli/tools/stopwatch.jpg,2,318,stimuli/tools/stopwatch.jpg,Devices,2,322,stimuli/tools/walker.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
7,2,11,1,156,stimuli/animals/mealworm.jpg,1,129,stimuli/animals/emu.jpg,Birds,1,156,stimuli/animals/mealworm.jpg,Invertebrates,1,2,stimuli/cues/cue_white.jpg,1
7,2,12,2,246,stimuli/tools/plunger.jpg,2,235,stimuli/tools/bottleopener.jpg,Household,2,246,stimuli/tools/plunger.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
7,2,13,1,3,stimuli/animals/rabbit.jpg,1,3,stimuli/animals/rabbit.jpg,Mammals,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
7,2,14,1,65,stimuli/animals/minnow.jpg,1,65,stimuli/animals/minnow.jpg,SeaDwellers,1,121,stimuli/animals/chinchilla.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
7,2,15,1,70,stimuli/animals/bumblebee.jpg,1,70,stimuli/animals/bumblebee.jpg,Invertebrates,1,19,stimuli/animals/panda.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
7,2,16,2,209,stimuli/tools/broom.jpg,2,209,stimuli/tools/broom.jpg,Household,2,261,stimuli/tools/caulkinggun.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
7,2,17,1,26,stimuli/animals/rhino.jpg,1,26,stimuli/animals/rhino.jpg,Mammals,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
7,2,18,2,277,stimuli/tools/spraybottle.jpg,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,2,277,stimuli/tools/spraybottle.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
7,2,19,2,337,stimuli/tools/duffelbag.jpg,2,238,stimuli/tools/edger.jpg,Powertools,2,337,stimuli/tools/duffelbag.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
7,2,20,1,21,stimuli/animals/wolf.jpg,1,58,stimuli/animals/perch.jpg,SeaDwellers,1,21,stimuli/animals/wolf.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
7,2,21,2,258,stimuli/tools/pizzacutter.jpg,2,258,stimuli/tools/pizzacutter.jpg,Household,2,220,stimuli/tools/jumpercables.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
7,2,22,1,62,stimuli/animals/goat.jpg,1,62,stimuli/animals/goat.jpg,Mammals,1,84,stimuli/animals/goldfish.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
7,2,23,1,161,stimuli/animals/catfish.jpg,1,82,stimuli/animals/yak.jpg,Mammals,1,161,stimuli/animals/catfish.jpg,SeaDwellers,1,2,stimuli/cues/cue_white.jpg,1
7,2,24,1,106,stimuli/animals/seahorse.jpg,1,106,stimuli/animals/seahorse.jpg,SeaDwellers,1,135,stimuli/animals/highlandcow.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
