order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
5,2,40,1,45,stimuli/animals/moose.jpg,1,45,stimuli/animals/moose.jpg,Mammals,1,82,stimuli/animals/yak.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
5,2,41,2,207,stimuli/tools/ducttape.jpg,2,207,stimuli/tools/ducttape.jpg,Household,2,345,stimuli/tools/sewingmachine.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
5,2,42,2,248,stimuli/tools/cart.jpg,2,193,stimuli/tools/clamp.jpg,Toolbox,2,248,stimuli/tools/cart.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,43,1,88,stimuli/animals/blackleopard.jpg,1,37,stimuli/animals/baboon.jpg,Mammals,1,88,stimuli/animals/blackleopard.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
5,2,44,1,25,stimuli/animals/orangutan.jpg,1,135,stimuli/animals/highlandcow.jpg,Mammals,1,25,stimuli/animals/orangutan.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
5,2,45,1,145,stimuli/animals/vulture.jpg,1,145,stimuli/animals/vulture.jpg,Birds,1,110,stimuli/animals/beta.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
5,2,46,2,226,stimuli/tools/transmissionwrench.jpg,2,324,stimuli/tools/lighterbic.jpg,Household,2,226,stimuli/tools/transmissionwrench.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
5,2,47,1,57,stimuli/animals/kangaroo.jpg,1,57,stimuli/animals/kangaroo.jpg,Mammals,1,44,stimuli/animals/mink.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
5,2,48,1,177,stimuli/animals/rosechafer.jpg,1,177,stimuli/animals/rosechafer.jpg,Invertebrates,1,91,stimuli/animals/bat.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
5,2,49,2,342,stimuli/tools/crank.jpg,2,342,stimuli/tools/crank.jpg,Toolbox,2,320,stimuli/tools/tirespoon.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
5,2,50,2,183,stimuli/tools/wrench.jpg,2,183,stimuli/tools/wrench.jpg,Toolbox,2,317,stimuli/tools/routerplane.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
5,2,51,2,290,stimuli/tools/stroller.jpg,2,271,stimuli/tools/oven.jpg,Household,2,290,stimuli/tools/stroller.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,52,1,171,stimuli/animals/woodlouse.jpg,1,171,stimuli/animals/woodlouse.jpg,Invertebrates,1,52,stimuli/animals/otter.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
5,2,53,1,116,stimuli/animals/caiman.jpg,1,116,stimuli/animals/caiman.jpg,ReptilesAmph,1,127,stimuli/animals/slug.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
5,2,54,2,286,stimuli/tools/sander.jpg,2,286,stimuli/tools/sander.jpg,Toolbox,2,187,stimuli/tools/saw.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
5,2,55,1,161,stimuli/animals/catfish.jpg,1,161,stimuli/animals/catfish.jpg,SeaDwellers,1,169,stimuli/animals/halibut.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
5,2,56,2,209,stimuli/tools/broom.jpg,2,235,stimuli/tools/bottleopener.jpg,Household,2,209,stimuli/tools/broom.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,57,2,272,stimuli/tools/sawblade.jpg,2,272,stimuli/tools/sawblade.jpg,Toolbox,2,197,stimuli/tools/screwdriver.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
5,2,58,2,291,stimuli/tools/battery.jpg,2,189,stimuli/tools/measuringtape.jpg,Toolbox,2,291,stimuli/tools/battery.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
5,2,59,1,92,stimuli/animals/bullfrog.jpg,1,26,stimuli/animals/rhino.jpg,Mammals,1,92,stimuli/animals/bullfrog.jpg,ReptilesAmph,1,2,stimuli/cues/cue_white.jpg,1
5,2,60,2,229,stimuli/tools/hedgeshears.jpg,2,229,stimuli/tools/hedgeshears.jpg,Powertools,2,309,stimuli/tools/carabiner.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
