order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
3,1,1,1,19,1,19,stimuli/animals/panda.jpg,Mammals,1,44,stimuli/animals/mink.jpg,Mammals,1,1
3,1,2,2,228,2,228,stimuli/tools/cuttingboard.jpg,Household,2,337,stimuli/tools/duffelbag.jpg,Household,2,1
3,1,3,1,175,1,180,stimuli/animals/assassinbug.jpg,Invertebrates,1,175,stimuli/animals/herculesbeetle.jpg,Invertebrates,1,2
3,1,4,1,47,1,47,stimuli/animals/bluejay.jpg,Birds,1,127,stimuli/animals/slug.jpg,Invertebrates,1,1
3,1,5,2,345,2,345,stimuli/tools/sewingmachine.jpg,Household,2,209,stimuli/tools/broom.jpg,Household,2,1
3,1,6,1,12,1,12,stimuli/animals/racoon.jpg,Mammals,1,77,stimuli/animals/watusi.jpg,Mammals,1,1
3,1,7,1,173,1,115,stimuli/animals/boar.jpg,Mammals,1,173,stimuli/animals/phasmagigas.jpg,Invertebrates,1,2
3,1,8,2,332,2,332,stimuli/tools/reflexhammer.jpg,Household,2,306,stimuli/tools/floorbuffer.jpg,Household,2,1
3,1,9,1,10,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,1,10,stimuli/animals/chicken.jpg,Birds,1,2
3,1,10,1,75,1,73,stimuli/animals/pike.jpg,SeaDwellers,1,75,stimuli/animals/snail.jpg,Invertebrates,1,2
3,1,11,2,346,2,346,stimuli/tools/bevelgauge.jpg,Devices,2,301,stimuli/tools/electricsander.jpg,Powertools,2,1
3,1,12,2,242,2,249,stimuli/tools/kettle.jpg,Household,2,242,stimuli/tools/thermometer.jpg,Household,2,2
3,1,13,2,224,2,189,stimuli/tools/measuringtape.jpg,Toolbox,2,224,stimuli/tools/bucket.jpg,Household,2,2
3,1,14,1,128,1,128,stimuli/animals/cod.jpg,SeaDwellers,1,178,stimuli/animals/beetle.jpg,Invertebrates,1,1
3,1,15,2,295,2,295,stimuli/tools/grill.jpg,Household,2,282,stimuli/tools/keys.jpg,Household,2,1
3,1,16,1,18,1,35,stimuli/animals/salmon.jpg,SeaDwellers,1,18,stimuli/animals/macaw.jpg,Birds,1,2
3,1,17,1,6,1,6,stimuli/animals/pigeon.jpg,Birds,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,1
3,1,18,2,281,2,203,stimuli/tools/chainsaw.jpg,Powertools,2,281,stimuli/tools/file.jpg,Household,2,2
3,1,19,1,21,1,88,stimuli/animals/blackleopard.jpg,Mammals,1,21,stimuli/animals/wolf.jpg,Mammals,1,2
3,1,20,1,14,1,14,stimuli/animals/tiger.jpg,Mammals,1,2,stimuli/animals/dog.jpg,Mammals,1,1
3,1,21,2,198,2,352,stimuli/tools/jawsoflife.jpg,Toolbox,2,198,stimuli/tools/electricbreaker.jpg,Powertools,2,2
3,1,22,2,318,2,318,stimuli/tools/stopwatch.jpg,Devices,2,298,stimuli/tools/paintgun.jpg,Powertools,2,1
3,1,23,1,97,1,154,stimuli/animals/mahimahi.jpg,SeaDwellers,1,97,stimuli/animals/hedgehog.jpg,Mammals,1,2
3,1,24,2,290,2,357,stimuli/tools/washboard.jpg,Household,2,290,stimuli/tools/stroller.jpg,Household,2,2
3,1,25,2,297,2,297,stimuli/tools/nails.jpg,Toolbox,2,300,stimuli/tools/digitalcamera.jpg,Devices,2,1
3,1,26,1,51,1,51,stimuli/animals/meerkat.jpg,Mammals,1,46,stimuli/animals/pelican.jpg,Birds,1,1
3,1,27,1,134,1,134,stimuli/animals/caracal.jpg,Mammals,1,150,stimuli/animals/millipede.jpg,Invertebrates,1,1
3,1,28,2,315,2,315,stimuli/tools/generator.jpg,Devices,2,279,stimuli/tools/headphones.jpg,Devices,2,1
3,1,29,1,48,1,48,stimuli/animals/hippo.jpg,Mammals,1,64,stimuli/animals/marmot.jpg,Mammals,1,1
3,1,30,2,287,2,187,stimuli/tools/saw.jpg,Toolbox,2,287,stimuli/tools/scale.jpg,Household,2,2
3,1,31,1,4,1,109,stimuli/animals/starfish.jpg,SeaDwellers,1,4,stimuli/animals/cow.jpg,Mammals,1,2
3,1,32,2,191,2,253,stimuli/tools/pencil.jpg,Household,2,191,stimuli/tools/ladder.jpg,Household,2,2
3,1,33,1,107,1,107,stimuli/animals/bass.jpg,SeaDwellers,1,140,stimuli/animals/crane.jpg,Birds,1,1
3,1,34,1,58,1,153,stimuli/animals/hyena.jpg,Mammals,1,58,stimuli/animals/perch.jpg,SeaDwellers,1,2
3,1,35,1,141,1,141,stimuli/animals/gecko.jpg,ReptilesAmph,1,96,stimuli/animals/toucan.jpg,Birds,1,1
