order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
6,2,1,2,193,stimuli/tools/clamp.jpg,2,186,stimuli/tools/drill.jpg,Powertools,2,193,stimuli/tools/clamp.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
6,2,2,1,83,stimuli/animals/dramaderry.jpg,1,162,stimuli/animals/dragonfly.jpg,Invertebrates,1,83,stimuli/animals/dramaderry.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,3,1,127,stimuli/animals/slug.jpg,1,129,stimuli/animals/emu.jpg,Birds,1,127,stimuli/animals/slug.jpg,Invertebrates,1,2,stimuli/cues/cue_white.jpg,1
6,2,4,1,111,stimuli/animals/cockatiel.jpg,1,111,stimuli/animals/cockatiel.jpg,Birds,1,8,stimuli/animals/lion.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
6,2,5,2,198,stimuli/tools/electricbreaker.jpg,2,198,stimuli/tools/electricbreaker.jpg,Powertools,2,266,stimuli/tools/workbench.jpg,Powertools,2,1,stimuli/cues/cue_green.jpg,5
6,2,6,1,41,stimuli/animals/monkey.jpg,1,140,stimuli/animals/crane.jpg,Birds,1,41,stimuli/animals/monkey.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,7,1,20,stimuli/animals/shrimp.jpg,1,20,stimuli/animals/shrimp.jpg,SeaDwellers,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,1,stimuli/cues/cue_white.jpg,1
6,2,8,1,175,stimuli/animals/herculesbeetle.jpg,1,175,stimuli/animals/herculesbeetle.jpg,Invertebrates,1,70,stimuli/animals/bumblebee.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
6,2,9,2,237,stimuli/tools/computermouse.jpg,2,194,stimuli/tools/hoe.jpg,Toolbox,2,237,stimuli/tools/computermouse.jpg,Devices,2,2,stimuli/cues/cue_green.jpg,5
6,2,10,1,94,stimuli/animals/jackal.jpg,1,87,stimuli/animals/wildabeast.jpg,Mammals,1,94,stimuli/animals/jackal.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,11,2,291,stimuli/tools/battery.jpg,2,291,stimuli/tools/battery.jpg,Household,2,241,stimuli/tools/staplegun.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
6,2,12,1,45,stimuli/animals/moose.jpg,1,7,stimuli/animals/sheep.jpg,Mammals,1,45,stimuli/animals/moose.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,13,2,276,stimuli/tools/scratchawl.jpg,2,298,stimuli/tools/paintgun.jpg,Powertools,2,276,stimuli/tools/scratchawl.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
6,2,14,2,248,stimuli/tools/cart.jpg,2,313,stimuli/tools/airpump.jpg,Household,2,248,stimuli/tools/cart.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
6,2,15,1,161,stimuli/animals/catfish.jpg,1,161,stimuli/animals/catfish.jpg,SeaDwellers,1,38,stimuli/animals/fox.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
6,2,16,2,355,stimuli/tools/telephone.jpg,2,355,stimuli/tools/telephone.jpg,Devices,2,235,stimuli/tools/bottleopener.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
6,2,17,1,138,stimuli/animals/angelfish.jpg,1,91,stimuli/animals/bat.jpg,Mammals,1,138,stimuli/animals/angelfish.jpg,SeaDwellers,1,2,stimuli/cues/cue_white.jpg,1
6,2,18,2,333,stimuli/tools/treadmill.jpg,2,267,stimuli/tools/corkscrew.jpg,Household,2,333,stimuli/tools/treadmill.jpg,Devices,2,2,stimuli/cues/cue_green.jpg,5
6,2,19,1,92,stimuli/animals/bullfrog.jpg,1,86,stimuli/animals/turkey.jpg,Birds,1,92,stimuli/animals/bullfrog.jpg,ReptilesAmph,1,2,stimuli/cues/cue_white.jpg,1
6,2,20,1,117,stimuli/animals/cricket.jpg,1,117,stimuli/animals/cricket.jpg,Invertebrates,1,97,stimuli/animals/hedgehog.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
6,2,21,2,234,stimuli/tools/whisk.jpg,2,234,stimuli/tools/whisk.jpg,Household,2,257,stimuli/tools/hairbrush.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
6,2,22,1,15,stimuli/animals/brown_bear.jpg,1,15,stimuli/animals/brown_bear.jpg,Mammals,1,177,stimuli/animals/rosechafer.jpg,Invertebrates,1,1,stimuli/cues/cue_white.jpg,1
6,2,23,2,325,stimuli/tools/microwave.jpg,2,325,stimuli/tools/microwave.jpg,Devices,2,204,stimuli/tools/spoon.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
6,2,24,2,277,stimuli/tools/spraybottle.jpg,2,277,stimuli/tools/spraybottle.jpg,Household,2,232,stimuli/tools/umbrella.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
6,2,25,1,93,stimuli/animals/gerbil.jpg,1,93,stimuli/animals/gerbil.jpg,Mammals,1,157,stimuli/animals/mole.jpg,Mammals,1,1,stimuli/cues/cue_white.jpg,1
6,2,26,2,284,stimuli/tools/nailgun.jpg,2,284,stimuli/tools/nailgun.jpg,Powertools,2,259,stimuli/tools/smartphone.jpg,Devices,2,1,stimuli/cues/cue_green.jpg,5
6,2,27,1,143,stimuli/animals/salamander.jpg,1,128,stimuli/animals/cod.jpg,SeaDwellers,1,143,stimuli/animals/salamander.jpg,ReptilesAmph,1,2,stimuli/cues/cue_white.jpg,1
6,2,28,1,85,stimuli/animals/hummingbird.jpg,1,46,stimuli/animals/pelican.jpg,Birds,1,85,stimuli/animals/hummingbird.jpg,Birds,1,2,stimuli/cues/cue_white.jpg,1
6,2,29,2,289,stimuli/tools/sprinkler.jpg,2,252,stimuli/tools/paintroller.jpg,Household,2,289,stimuli/tools/sprinkler.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
6,2,30,1,42,stimuli/animals/frog.jpg,1,50,stimuli/animals/lobster.jpg,SeaDwellers,1,42,stimuli/animals/frog.jpg,ReptilesAmph,1,2,stimuli/cues/cue_white.jpg,1
6,2,31,1,25,stimuli/animals/orangutan.jpg,1,180,stimuli/animals/assassinbug.jpg,Invertebrates,1,25,stimuli/animals/orangutan.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,32,2,319,stimuli/tools/telescope.jpg,2,319,stimuli/tools/telescope.jpg,Household,2,353,stimuli/tools/television.jpg,Devices,2,1,stimuli/cues/cue_green.jpg,5
6,2,33,2,321,stimuli/tools/tirespoon.jpg,2,321,stimuli/tools/tirespoon.jpg,Toolbox,2,309,stimuli/tools/carabiner.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
6,2,34,1,116,stimuli/animals/caiman.jpg,1,116,stimuli/animals/caiman.jpg,ReptilesAmph,1,53,stimuli/animals/baldeagle.jpg,Birds,1,1,stimuli/cues/cue_white.jpg,1
6,2,35,2,292,stimuli/tools/burnisher.jpg,2,292,stimuli/tools/burnisher.jpg,Toolbox,2,205,stimuli/tools/wheelbarrow.jpg,Household,2,1,stimuli/cues/cue_green.jpg,5
6,2,36,2,202,stimuli/tools/flashlight.jpg,2,258,stimuli/tools/pizzacutter.jpg,Household,2,202,stimuli/tools/flashlight.jpg,Household,2,2,stimuli/cues/cue_green.jpg,5
6,2,37,1,168,stimuli/animals/bushdog.jpg,1,23,stimuli/animals/mountainsheep.jpg,Mammals,1,168,stimuli/animals/bushdog.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,38,1,96,stimuli/animals/toucan.jpg,1,66,stimuli/animals/peacock.jpg,Birds,1,96,stimuli/animals/toucan.jpg,Birds,1,2,stimuli/cues/cue_white.jpg,1
6,2,39,2,335,stimuli/tools/binoculars.jpg,2,335,stimuli/tools/binoculars.jpg,Household,2,286,stimuli/tools/sander.jpg,Toolbox,2,1,stimuli/cues/cue_green.jpg,5
6,2,40,1,17,stimuli/animals/leopard.jpg,1,14,stimuli/animals/tiger.jpg,Mammals,1,17,stimuli/animals/leopard.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,41,2,334,stimuli/tools/tubeflaring.jpg,2,334,stimuli/tools/tubeflaring.jpg,Toolbox,2,340,stimuli/tools/woodchipper.jpg,Powertools,2,1,stimuli/cues/cue_green.jpg,5
6,2,42,2,320,stimuli/tools/tirespoon.jpg,2,245,stimuli/tools/padlock.jpg,Household,2,320,stimuli/tools/tirespoon.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
6,2,43,2,220,stimuli/tools/jumpercables.jpg,2,244,stimuli/tools/mallet.jpg,Toolbox,2,220,stimuli/tools/jumpercables.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
6,2,44,1,77,stimuli/animals/watusi.jpg,1,176,stimuli/animals/firebug.jpg,Invertebrates,1,77,stimuli/animals/watusi.jpg,Mammals,1,2,stimuli/cues/cue_white.jpg,1
6,2,45,2,312,stimuli/tools/pressuregauge.jpg,2,301,stimuli/tools/electricsander.jpg,Powertools,2,312,stimuli/tools/pressuregauge.jpg,Toolbox,2,2,stimuli/cues/cue_green.jpg,5
