order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
1,1,1,1,135,stimuli/animals/highlandcow.jpg,1,87,stimuli/animals/wildabeast.jpg,Mammals,1,135,stimuli/animals/highlandcow.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
1,1,2,1,130,stimuli/animals/grasshopper.jpg,1,47,stimuli/animals/bluejay.jpg,Birds,1,130,stimuli/animals/grasshopper.jpg,Invertebrates,1,2,stimuli/cues/cue_green.jpg,5
1,1,3,2,351,stimuli/tools/beaker.jpg,2,323,stimuli/tools/weldershammer.jpg,Toolbox,2,351,stimuli/tools/beaker.jpg,Household,2,2,stimuli/cues/cue_white.jpg,1
1,1,4,1,83,stimuli/animals/dramaderry.jpg,1,109,stimuli/animals/starfish.jpg,SeaDwellers,1,83,stimuli/animals/dramaderry.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
1,1,5,2,336,stimuli/tools/chainwrench.jpg,2,336,stimuli/tools/chainwrench.jpg,Toolbox,2,264,stimuli/tools/mop.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
1,1,6,1,66,stimuli/animals/peacock.jpg,1,66,stimuli/animals/peacock.jpg,Birds,1,161,stimuli/animals/catfish.jpg,SeaDwellers,1,1,stimuli/cues/cue_green.jpg,5
1,1,7,1,92,stimuli/animals/bullfrog.jpg,1,92,stimuli/animals/bullfrog.jpg,ReptilesAmph,1,152,stimuli/animals/clam.jpg,SeaDwellers,1,1,stimuli/cues/cue_green.jpg,5
1,1,8,2,189,stimuli/tools/measuringtape.jpg,2,189,stimuli/tools/measuringtape.jpg,Toolbox,2,240,stimuli/tools/rollingpin.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
1,1,9,2,300,stimuli/tools/digitalcamera.jpg,2,271,stimuli/tools/oven.jpg,Household,2,300,stimuli/tools/digitalcamera.jpg,Devices,2,2,stimuli/cues/cue_white.jpg,1
1,1,10,1,5,stimuli/animals/horse.jpg,1,40,stimuli/animals/chimp.jpg,Mammals,1,5,stimuli/animals/horse.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
1,1,11,1,179,stimuli/animals/seaslug.jpg,1,179,stimuli/animals/seaslug.jpg,SeaDwellers,1,61,stimuli/animals/chipmunk.jpg,Mammals,1,1,stimuli/cues/cue_green.jpg,5
1,1,12,2,261,stimuli/tools/caulkinggun.jpg,2,324,stimuli/tools/lighterbic.jpg,Household,2,261,stimuli/tools/caulkinggun.jpg,Household,2,2,stimuli/cues/cue_white.jpg,1
1,1,13,1,38,stimuli/animals/fox.jpg,1,38,stimuli/animals/fox.jpg,Mammals,1,153,stimuli/animals/hyena.jpg,Mammals,1,1,stimuli/cues/cue_green.jpg,5
1,1,14,2,359,stimuli/tools/electricpipethreader.jpg,2,359,stimuli/tools/electricpipethreader.jpg,Powertools,2,202,stimuli/tools/flashlight.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
1,1,15,2,331,stimuli/tools/gentssaw.jpg,2,216,stimuli/tools/viceclamp.jpg,Toolbox,2,331,stimuli/tools/gentssaw.jpg,Toolbox,2,2,stimuli/cues/cue_white.jpg,1
1,1,16,1,94,stimuli/animals/jackal.jpg,1,35,stimuli/animals/salmon.jpg,SeaDwellers,1,94,stimuli/animals/jackal.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
1,1,17,1,149,stimuli/animals/quail.jpg,1,96,stimuli/animals/toucan.jpg,Birds,1,149,stimuli/animals/quail.jpg,Birds,1,2,stimuli/cues/cue_green.jpg,5
1,1,18,2,195,stimuli/tools/level.jpg,2,221,stimuli/tools/lawnmower.jpg,Household,2,195,stimuli/tools/level.jpg,Toolbox,2,2,stimuli/cues/cue_white.jpg,1
1,1,19,1,57,stimuli/animals/kangaroo.jpg,1,128,stimuli/animals/cod.jpg,SeaDwellers,1,57,stimuli/animals/kangaroo.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
1,1,20,1,2,stimuli/animals/dog.jpg,1,150,stimuli/animals/millipede.jpg,Invertebrates,1,2,stimuli/animals/dog.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
1,1,21,1,11,stimuli/animals/elephantafrican.jpg,1,12,stimuli/animals/racoon.jpg,Mammals,1,11,stimuli/animals/elephantafrican.jpg,Mammals,1,2,stimuli/cues/cue_green.jpg,5
1,1,22,2,308,stimuli/tools/blender.jpg,2,301,stimuli/tools/electricsander.jpg,Powertools,2,308,stimuli/tools/blender.jpg,Household,2,2,stimuli/cues/cue_white.jpg,1
