order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp,corr_image,corr_reward
2,1,1,1,100,stimuli/animals/finch.jpg,1,100,stimuli/animals/finch.jpg,Birds,1,78,stimuli/animals/canary.jpg,Birds,1,1,stimuli/cues/cue_green.jpg,5
2,1,2,2,286,stimuli/tools/sander.jpg,2,286,stimuli/tools/sander.jpg,Toolbox,2,203,stimuli/tools/chainsaw.jpg,Powertools,2,1,stimuli/cues/cue_white.jpg,1
2,1,3,2,267,stimuli/tools/corkscrew.jpg,2,233,stimuli/tools/weedeater.jpg,Powertools,2,267,stimuli/tools/corkscrew.jpg,Household,2,2,stimuli/cues/cue_white.jpg,1
2,1,4,1,147,stimuli/animals/beardeddragon.jpg,1,29,stimuli/animals/penguin.jpg,Birds,1,147,stimuli/animals/beardeddragon.jpg,ReptilesAmph,1,2,stimuli/cues/cue_green.jpg,5
2,1,5,2,297,stimuli/tools/nails.jpg,2,277,stimuli/tools/spraybottle.jpg,Household,2,297,stimuli/tools/nails.jpg,Toolbox,2,2,stimuli/cues/cue_white.jpg,1
2,1,6,1,13,stimuli/animals/shark.jpg,1,161,stimuli/animals/catfish.jpg,SeaDwellers,1,13,stimuli/animals/shark.jpg,SeaDwellers,1,2,stimuli/cues/cue_green.jpg,5
2,1,7,2,200,stimuli/tools/clippers.jpg,2,261,stimuli/tools/caulkinggun.jpg,Household,2,200,stimuli/tools/clippers.jpg,Toolbox,2,2,stimuli/cues/cue_white.jpg,1
2,1,8,1,170,stimuli/animals/partridge.jpg,1,170,stimuli/animals/partridge.jpg,Birds,1,98,stimuli/animals/wasp.jpg,Invertebrates,1,1,stimuli/cues/cue_green.jpg,5
2,1,9,1,71,stimuli/animals/butterfly.jpg,1,71,stimuli/animals/butterfly.jpg,Invertebrates,1,119,stimuli/animals/stickinsect.jpg,Invertebrates,1,1,stimuli/cues/cue_green.jpg,5
2,1,10,2,244,stimuli/tools/mallet.jpg,2,244,stimuli/tools/mallet.jpg,Toolbox,2,242,stimuli/tools/thermometer.jpg,Household,2,1,stimuli/cues/cue_white.jpg,1
2,1,11,1,75,stimuli/animals/snail.jpg,1,114,stimuli/animals/snapper.jpg,SeaDwellers,1,75,stimuli/animals/snail.jpg,Invertebrates,1,2,stimuli/cues/cue_green.jpg,5
2,1,12,2,314,stimuli/tools/circlecutter.jpg,2,314,stimuli/tools/circlecutter.jpg,Household,2,309,stimuli/tools/carabiner.jpg,Toolbox,2,1,stimuli/cues/cue_white.jpg,1
2,1,13,1,131,stimuli/animals/hermitcrab.jpg,1,141,stimuli/animals/gecko.jpg,ReptilesAmph,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,2,stimuli/cues/cue_green.jpg,5
